,n_sense
澳,7
果,7
秋,6
貝,5
書,9
列,11
辛,9
江,6
虱,1
桃,5
兒,6
祕,10
房,12
孔,4
夫,6
按,9
罷,4
般,2
伴,5
拌,1
抱,4
步,6
層,11
吵,4
初,4
處,9
賜,3
電,8
調,15
盯,2
頂,10
棟,2
抖,4
多,7
服,6
復,5
感,5
隔,7
咯,9
合,10
跟,12
股,12
故,8
嗨,1
恨,1
哼,3
後,17
戶,6
化,9
患,2
揮,4
回,12
及,3
計,7
剪,6
撿,2
漸,3
賤,3
教,7
嚼,3
覺,5
節,12
屆,3
禁,3
距,4
俱,1
據,7
空,43
便,18
陶,6
虎,7
陳,10
潔,7
胃,3
席,14
柳,10
蘭,5
態,8
仇,4
今,5
薪,3
觸,5
捉,8
仔,8
帝,6
春,7
童,5
寵,4
籠,9
周,9
唐,6
簡,7
擁,7
午,4
池,6
柯,4
校,5
甘,7
帛,4
郝,3
提,16
擺,14
秦,8
涼,16
弟,7
市,4
夏,8
冬,4
己,6
孩,3
炮,14
釘,5
搶,10
伯,8
瓜,8
衣,6
錦,4
皇,4
藤,4
紫,9
斗,8
朋,2
扇,10
臣,4
壺,5
隱,7
默,6
泰,8
扣,18
柴,10
燕,8
松,2
豆,7
亞,4
冠,12
泉,7
漆,7
川,5
板,14
丹,9
掌,11
稻,3
恰,7
叔,6
季,11
橋,11
滴,8
官,7
府,9
寸,12
岳,2
屋,3
答,6
溜,11
牢,6
剝,5
哄,5
挑,14
修,19
湯,9
尋,5
殿,3
珍,6
工,9
劇,4
枕,5
信,7
候,4
侯,2
卿,5
營,9
筑,2
染,8
取,19
束,6
叢,6
縱,12
鳴,8
課,14
儀,8
頌,6
仁,6
義,13
朗,9
休,11
撫,9
激,13
衰,5
惡,8
攏,14
泛,13
旁,5
嘟,5
趴,7
體,15
冀,4
交,13
續,5
巡,3
嚇,4
截,11
創,15
狄,2
釋,13
冉,2
巫,2
撒,11
毀,4
劈,7
駒,3
帥,8
昂,4
景,6
彩,10
黏,11
貼,13
拳,5
魯,10
產,8
舅,5
運,9
曉,4
擔,9
器,5
鋪,10
谷,3
蓬,4
壁,6
僧,2
渴,3
胎,7
俗,5
平,35
耍,6
隆,13
克,3
恩,6
悅,3
閃,17
徐,3
植,8
墨,13
室,8
找,4
羅,3
隋,3
淺,13
盾,2
華,10
中,36
政,4
商,12
比,13
觀,6
摳,7
戀,6
楚,6
龜,6
腐,5
麥,4
薦,3
繡,5
嚕,11
示,5
靛,3
糗,3
裔,4
犢,4
蜀,5
膠,7
隴,4
腹,10
浩,3
纏,6
崇,4
端,12
豐,8
烏,3
柔,8
抄,10
姑,7
灑,6
翹,7
蹺,7
突,13
飲,5
粉,11
青,12
歷,6
意,10
旋,6
移,10
升,9
遼,6
廣,12
屏,7
符,10
哀,6
異,6
漢,19
力,7
覆,6
翻,18
颼,4
扁,13
嵇,2
顆,2
快,6
狂,3
離,6
輛,1
間,12
等,8
既,3
暨,1
繼,4
對,22
呵,8
論,6
沒,6
每,3
蒙,8
迷,5
面,11
命,6
某,2
幕,5
耐,2
呸,1
批,5
篇,2
迄,1
氣,8
前,17
敲,5
親,8
勤,2
趨,1
群,7
忍,2
任,6
日,13
如,5
掃,5
擅,2
伸,2
時,10
識,4
收,22
首,8
順,10
似,6
貪,1
討,7
挺,5
通,11
頭,20
吐,6
餵,4
問,3
喜,4
嫌,5
向,7
像,5
偕,1
沿,2
樣,6
唷,5
呦,2
原,4
遠,6
越,6
遭,3
贈,1
張,7
整,5
支,14
枝,3
值,5
祇,1
至,5
致,5
撞,4
奇,6
足,7
組,6
且,3
到,10
而,10
又,8
或,4
與,6
和,16
不,3
未,2
過,14
著,8
了,5
噫,4
嗚,6
嗐,2
噯,3
咦,2
喂,2
哎,4
哇,12
唉,3
哦,5
喔,7
欸,6
啊,12
嗯,6
讓,6
挨,6
受,6
給,7
將,9
把,12
被,3
為,8
臨,8
俟,1
逢,3
趁,1
待,7
有,8
以,12
望,9
倚,4
朝,11
靠,10
就,24
經,13
於,11
在,10
仗,3
同,9
憑,3
幫,4
藉,1
替,2
往,6
用,14
逐,4
于,11
從,13
當,14
假,14
循,2
拿,13
由,12
照,15
視,3
較,2
依,9
因,3
例,6
