"","character","frequency","stroke_num","scaled_freq"
"11098","""糑""",9,16,-0.130269793791428
"11099","""縒""",9,16,-0.130269793791428
"11100","""縢""",9,16,-0.130269793791428
"11101","""羱""",9,16,-0.130269793791428
"11102","""聬""",9,16,-0.130269793791428
"11103","""蕡""",9,16,-0.130269793791428
"11104","""蕇""",9,16,-0.130269793791428
"11105","""蕱""",9,16,-0.130269793791428
"11106","""虥""",9,16,-0.130269793791428
"11107","""諰""",9,16,-0.130269793791428
"11108","""諨""",9,16,-0.130269793791428
"11109","""諿""",9,16,-0.130269793791428
"11110","""蹅""",9,16,-0.130269793791428
"11111","""輶""",9,16,-0.130269793791428
"11112","""醑""",9,16,-0.130269793791428
"11113","""醏""",9,16,-0.130269793791428
"11114","""錛""",9,17,-0.130269793791428
"11115","""鍆""",9,16,-0.130269793791428
"11116","""錌""",9,16,-0.130269793791428
"11117","""雔""",9,16,-0.130269793791428
"11118","""餤""",9,16,-0.130269793791428
"11119","""駰""",9,16,-0.130269793791428
"11120","""鬳""",9,16,-0.130269793791428
"11121","""鴙""",9,16,-0.130269793791428
"11122","""儤""",9,17,-0.130269793791428
"11123","""嬯""",9,17,-0.130269793791428
"11124","""孻""",9,17,-0.130269793791428
"11125","""憵""",9,17,-0.130269793791428
"11126","""懥""",9,17,-0.130269793791428
"11127","""斶""",9,17,-0.130269793791428
"11128","""檎""",9,17,-0.130269793791428
"11129","""檦""",9,17,-0.130269793791428
"11130","""氉""",9,17,-0.130269793791428
"11131","""燡""",9,17,-0.130269793791428
"11132","""磼""",9,17,-0.130269793791428
"11133","""簎""",9,17,-0.130269793791428
"11134","""艜""",9,17,-0.130269793791428
"11135","""薤""",9,17,-0.130269793791428
"11136","""蕷""",9,17,-0.130269793791428
"11137","""薎""",9,17,-0.130269793791428
"11138","""薍""",9,17,-0.130269793791428
"11139","""薝""",9,17,-0.130269793791428
"11140","""薢""",9,17,-0.130269793791428
"11141","""蟌""",9,17,-0.130269793791428
"11142","""螷""",9,17,-0.130269793791428
"11143","""蟞""",9,17,-0.130269793791428
"11144","""覮""",9,17,-0.130269793791428
"11145","""轀""",9,17,-0.130269793791428
"11146","""鞜""",9,17,-0.130269793791428
"11147","""餲""",9,17,-0.130269793791428
"11148","""駽""",9,17,-0.130269793791428
"11149","""髾""",9,17,-0.130269793791428
"11150","""髽""",9,17,-0.130269793791428
"11151","""鮛""",9,17,-0.130269793791428
"11152","""鮥""",9,17,-0.130269793791428
"11153","""鴮""",9,17,-0.130269793791428
"11154","""黈""",9,17,-0.130269793791428
"11155","""龠""",9,17,-0.130269793791428
"11156","""懱""",9,18,-0.130269793791428
"11157","""斔""",9,18,-0.130269793791428
"11158","""櫅""",9,18,-0.130269793791428
"11159","""檷""",9,18,-0.130269793791428
"11160","""瀁""",9,18,-0.130269793791428
"11161","""瀎""",9,18,-0.130269793791428
"11162","""瀊""",9,18,-0.130269793791428
"11163","""璸""",9,18,-0.130269793791428
"11164","""瓁""",9,18,-0.130269793791428
"11165","""穟""",9,18,-0.130269793791428
"11166","""簥""",9,18,-0.130269793791428
"11167","""翷""",9,18,-0.130269793791428
"11168","""臒""",9,18,-0.130269793791428
"11169","""薽""",9,18,-0.130269793791428
"11170","""薸""",9,18,-0.130269793791428
"11171","""蟛""",9,18,-0.130269793791428
"11172","""蟣""",9,18,-0.130269793791428
"11173","""襋""",9,17,-0.130269793791428
"11174","""謯""",9,18,-0.130269793791428
"11175","""謺""",9,18,-0.130269793791428
"11176","""貙""",9,18,-0.130269793791428
"11177","""蹖""",9,18,-0.130269793791428
"11178","""鄨""",9,19,-0.130269793791428
"11179","""鎷""",9,18,-0.130269793791428
"11180","""闒""",9,18,-0.130269793791428
"11181","""雗""",9,18,-0.130269793791428
"11182","""雘""",9,18,-0.130269793791428
"11183","""雝""",9,18,-0.130269793791428
"11184","""鞮""",9,18,-0.130269793791428
"11185","""鞢""",9,18,-0.130269793791428
"11186","""騉""",9,18,-0.130269793791428
"11187","""鬵""",9,18,-0.130269793791428
"11188","""鵛""",9,18,-0.130269793791428
"11189","""嚪""",9,19,-0.130269793791428
"11190","""嬽""",9,19,-0.130269793791428
"11191","""巃""",9,19,-0.130269793791428
"11192","""攇""",9,19,-0.130269793791428
"11193","""櫧""",9,19,-0.130269793791428
"11194","""櫋""",9,19,-0.130269793791428
"11195","""瀩""",9,19,-0.130269793791428
"11196","""瀗""",9,19,-0.130269793791428
"11197","""犡""",9,19,-0.130269793791428
"11198","""礝""",9,19,-0.130269793791428
"11199","""礛""",9,19,-0.130269793791428
"11200","""簼""",9,19,-0.130269793791428
"11201","""繰""",9,19,-0.130269793791428
"11202","""藙""",9,19,-0.130269793791428
"11203","""藨""",9,19,-0.130269793791428
"11204","""蠈""",9,19,-0.130269793791428
"11205","""譖""",9,19,-0.130269793791428
"11206","""貚""",9,19,-0.130269793791428
"11207","""趪""",9,19,-0.130269793791428
"11208","""轒""",9,19,-0.130269793791428
"11209","""醭""",9,19,-0.130269793791428
"11210","""鏹""",9,19,-0.130269793791428
"11211","""鏊""",9,19,-0.130269793791428
"11212","""鏎""",9,19,-0.130269793791428
"11213","""顜""",9,19,-0.130269793791428
"11214","""鬎""",9,19,-0.130269793791428
"11215","""鯪""",9,19,-0.130269793791428
"11216","""鯠""",9,19,-0.130269793791428
"11217","""鯦""",9,19,-0.130269793791428
"11218","""鯢""",9,19,-0.130269793791428
"11219","""鯡""",9,19,-0.130269793791428
"11220","""鶀""",9,19,-0.130269793791428
"11221","""嚵""",9,20,-0.130269793791428
"11222","""巆""",9,20,-0.130269793791428
"11223","""忁""",9,20,-0.130269793791428
"11224","""曨""",9,20,-0.130269793791428
"11225","""曣""",9,20,-0.130269793791428
"11226","""櫱""",9,20,-0.130269793791428
"11227","""瀯""",9,20,-0.130269793791428
"11228","""灂""",9,20,-0.130269793791428
"11229","""瀿""",9,20,-0.130269793791428
"11230","""犨""",9,20,-0.130269793791428
"11231","""皫""",9,20,-0.130269793791428
"11232","""皾""",9,20,-0.130269793791428
"11233","""籈""",9,20,-0.130269793791428
"11234","""譧""",9,20,-0.130269793791428
"11235","""躆""",9,20,-0.130269793791428
"11236","""轖""",9,20,-0.130269793791428
"11237","""轕""",9,20,-0.130269793791428
"11238","""鏾""",9,20,-0.130269793791428
"11239","""鐇""",9,20,-0.130269793791428
"11240","""闠""",9,20,-0.130269793791428
"11241","""鞻""",9,19,-0.130269793791428
"11242","""饙""",9,20,-0.130269793791428
"11243","""騴""",9,20,-0.130269793791428
"11244","""騩""",9,20,-0.130269793791428
"11245","""鰒""",9,20,-0.130269793791428
"11246","""鰔""",9,20,-0.130269793791428
"11247","""鶟""",9,20,-0.130269793791428
"11248","""儹""",9,21,-0.130269793791428
"11249","""巏""",9,21,-0.130269793791428
"11250","""灉""",9,21,-0.130269793791428
"11251","""礭""",9,21,-0.130269793791428
"11252","""蘠""",9,21,-0.130269793791428
"11253","""蠝""",9,21,-0.130269793791428
"11254","""襭""",9,20,-0.130269793791428
"11255","""譸""",9,21,-0.130269793791428
"11256","""譺""",9,21,-0.130269793791428
"11257","""鐼""",9,21,-0.130269793791428
"11258","""霺""",9,21,-0.130269793791428
"11259","""顤""",9,21,-0.130269793791428
"11260","""鰩""",9,21,-0.130269793791428
"11261","""鷎""",9,21,-0.130269793791428
"11262","""鶭""",9,21,-0.130269793791428
"11263","""黮""",9,21,-0.130269793791428
"11264","""齥""",9,21,-0.130269793791428
"11265","""廲""",9,22,-0.130269793791428
"11266","""籗""",9,22,-0.130269793791428
"11267","""糴""",9,22,-0.130269793791428
"11268","""覿""",9,22,-0.130269793791428
"11269","""讄""",9,22,-0.130269793791428
"11270","""讅""",9,22,-0.130269793791428
"11271","""韣""",9,22,-0.130269793791428
"11272","""顪""",9,21,-0.130269793791428
"11273","""飋""",9,22,-0.130269793791428
"11274","""鷜""",9,22,-0.130269793791428
"11275","""鷙""",9,22,-0.130269793791428
"11276","""鷵""",9,22,-0.130269793791428
"11277","""鷕""",9,22,-0.130269793791428
"11278","""黰""",9,22,-0.130269793791428
"11279","""戄""",9,23,-0.130269793791428
"11280","""蘹""",9,23,-0.130269793791428
"11281","""蠮""",9,23,-0.130269793791428
"11282","""躘""",9,23,-0.130269793791428
"11283","""鑕""",9,23,-0.130269793791428
"11284","""鬞""",9,23,-0.130269793791428
"11285","""鬠""",9,23,-0.130269793791428
"11286","""鱙""",9,23,-0.130269793791428
"11287","""鷭""",9,23,-0.130269793791428
"11288","""黂""",9,23,-0.130269793791428
"11289","""黐""",9,23,-0.130269793791428
"11290","""曮""",9,24,-0.130269793791428
"11291","""禷""",9,24,-0.130269793791428
"11292","""釂""",9,24,-0.130269793791428
"11293","""鱞""",9,24,-0.130269793791428
"11294","""鸄""",9,24,-0.130269793791428
"11295","""齴""",9,24,-0.130269793791428
"11296","""讘""",9,25,-0.130269793791428
"11297","""麡""",9,24,-0.130269793791428
"11298","""齹""",9,25,-0.130269793791428
"11299","""鑶""",9,26,-0.130269793791428
"11300","""鸓""",9,26,-0.130269793791428
"11301","""齈""",9,27,-0.130269793791428
"11302","""龘""",9,36,-0.130269793791428
"11303","""墻""",9,16,-0.130269793791428
"11304","""圩""",8,6,-0.130279698036964
"11305","""芰""",8,8,-0.130279698036964
"11306","""敔""",8,11,-0.130279698036964
"11307","""耜""",8,11,-0.130279698036964
"11308","""僇""",8,13,-0.130279698036964
"11309","""鄗""",8,13,-0.130279698036964
"11310","""箄""",8,14,-0.130279698036964
"11311","""縴""",8,17,-0.130279698036964
"11312","""儳""",8,19,-0.130279698036964
"11313","""鑤""",8,23,-0.130279698036964
"11314","""匚""",8,2,-0.130279698036964
"11315","""仜""",8,5,-0.130279698036964
"11316","""伒""",8,6,-0.130279698036964
"11317","""匢""",8,6,-0.130279698036964
"11318","""奾""",8,6,-0.130279698036964
"11319","""灱""",8,6,-0.130279698036964
"11320","""犵""",8,6,-0.130279698036964
"11321","""艿""",8,6,-0.130279698036964
"11322","""邔""",8,6,-0.130279698036964
"11323","""厏""",8,7,-0.130279698036964
"11324","""吪""",8,7,-0.130279698036964
"11325","""吙""",8,7,-0.130279698036964
"11326","""坁""",8,7,-0.130279698036964
"11327","""妢""",8,7,-0.130279698036964
"11328","""岈""",8,7,-0.130279698036964
"11329","""岋""",8,7,-0.130279698036964
"11330","""巠""",8,7,-0.130279698036964
"11331","""帎""",8,7,-0.130279698036964
"11332","""庌""",8,7,-0.130279698036964
"11333","""弝""",8,7,-0.130279698036964
"11334","""彶""",8,7,-0.130279698036964
"11335","""忣""",8,7,-0.130279698036964
"11336","""抏""",8,7,-0.130279698036964
"11337","""旲""",8,7,-0.130279698036964
"11338","""杍""",8,7,-0.130279698036964
"11339","""肜""",8,7,-0.130279698036964
"11340","""阰""",8,7,-0.130279698036964
"11341","""刲""",8,8,-0.130279698036964
"11342","""匊""",8,8,-0.130279698036964
"11343","""呥""",8,8,-0.130279698036964
"11344","""咍""",8,8,-0.130279698036964
"11345","""垀""",8,8,-0.130279698036964
"11346","""坽""",8,8,-0.130279698036964
"11347","""姎""",8,8,-0.130279698036964
"11348","""岵""",8,8,-0.130279698036964
"11349","""帔""",8,8,-0.130279698036964
"11350","""彔""",8,8,-0.130279698036964
"11351","""抳""",8,8,-0.130279698036964
"11352","""抰""",8,8,-0.130279698036964
"11353","""枅""",8,8,-0.130279698036964
"11354","""杺""",8,8,-0.130279698036964
"11355","""枙""",8,8,-0.130279698036964
"11356","""歾""",8,8,-0.130279698036964
"11357","""炂""",8,8,-0.130279698036964
"11358","""盵""",8,8,-0.130279698036964
"11359","""肵""",8,8,-0.130279698036964
"11360","""苂""",8,8,-0.130279698036964
"11361","""苃""",8,8,-0.130279698036964
"11362","""虰""",8,8,-0.130279698036964
"11363","""豖""",8,8,-0.130279698036964
"11364","""阹""",8,8,-0.130279698036964
"11365","""侺""",8,9,-0.130279698036964
"11366","""咥""",8,9,-0.130279698036964
"11367","""垵""",8,9,-0.130279698036964
"11368","""垥""",8,9,-0.130279698036964
"11369","""娀""",8,9,-0.130279698036964
"11370","""庣""",8,9,-0.130279698036964
"11371","""斪""",8,9,-0.130279698036964
"11372","""昮""",8,9,-0.130279698036964
"11373","""朐""",8,9,-0.130279698036964
"11374","""柦""",8,9,-0.130279698036964
"11375","""柋""",8,9,-0.130279698036964
"11376","""牬""",8,8,-0.130279698036964
"11377","""玾""",8,9,-0.130279698036964
"11378","""珆""",8,9,-0.130279698036964
"11379","""玸""",8,9,-0.130279698036964
"11380","""珋""",8,9,-0.130279698036964
"11381","""疧""",8,9,-0.130279698036964
"11382","""眅""",8,9,-0.130279698036964
"11383","""眊""",8,9,-0.130279698036964
"11384","""砎""",8,9,-0.130279698036964
"11385","""粁""",8,9,-0.130279698036964
"11386","""耇""",8,9,-0.130279698036964
"11387","""胇""",8,9,-0.130279698036964
"11388","""赲""",8,9,-0.130279698036964
"11389","""迡""",8,9,-0.130279698036964
"11390","""俶""",8,10,-0.130279698036964
"11391","""倗""",8,10,-0.130279698036964
"11392","""倱""",8,10,-0.130279698036964
"11393","""哻""",8,10,-0.130279698036964
"11394","""圁""",8,10,-0.130279698036964
"11395","""垺""",8,10,-0.130279698036964
"11396","""垼""",8,10,-0.130279698036964
"11397","""娕""",8,10,-0.130279698036964
"11398","""峬""",8,10,-0.130279698036964
